"Area","MTU","Biomass - Actual Aggregated [MW]","Energy storage - Actual Aggregated [MW]","Fossil Brown coal/Lignite - Actual Aggregated [MW]","Fossil Coal-derived gas - Actual Aggregated [MW]","Fossil Gas - Actual Aggregated [MW]","Fossil Hard coal - Actual Aggregated [MW]","Fossil Oil - Actual Aggregated [MW]","Fossil Oil shale - Actual Aggregated [MW]","Fossil Peat - Actual Aggregated [MW]","Geothermal - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Consumption [MW]","Hydro Run-of-river and poundage - Actual Aggregated [MW]","Hydro Water Reservoir - Actual Aggregated [MW]","Marine - Actual Aggregated [MW]","Nuclear - Actual Aggregated [MW]","Other - Actual Aggregated [MW]","Other renewable - Actual Aggregated [MW]","Solar - Actual Aggregated [MW]","Waste - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"Sweden (SE)","02.01.2024 13:00 - 02.01.2024 14:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","12027","n/e","6292","1081","n/e","8","n/e","n/e","5078"
"Sweden (SE)","02.01.2024 14:00 - 02.01.2024 15:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","12065","n/e","6292","1089","n/e","3","n/e","n/e","5219"
"Sweden (SE)","02.01.2024 15:00 - 02.01.2024 16:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","12085","n/e","6292","1096","n/e","1","n/e","n/e","5266"
"Sweden (SE)","02.01.2024 16:00 - 02.01.2024 17:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","12134","n/e","6292","1065","n/e","0","n/e","n/e","5392"
"Sweden (SE)","02.01.2024 17:00 - 02.01.2024 18:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","12116","n/e","6289","1026","n/e","0","n/e","n/e","5373"
"Sweden (SE)","02.01.2024 18:00 - 02.01.2024 19:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","11704","n/e","6291","1004","n/e","0","n/e","n/e","5543"
"Sweden (SE)","02.01.2024 19:00 - 02.01.2024 20:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","11329","n/e","6291","1011","n/e","0","n/e","n/e","5665"
"Sweden (SE)","02.01.2024 20:00 - 02.01.2024 21:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","10988","n/e","6290","1007","n/e","0","n/e","n/e","5774"
"Sweden (SE)","02.01.2024 21:00 - 02.01.2024 22:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","9535","n/e","6290","977","n/e","0","n/e","n/e","5814"
"Sweden (SE)","02.01.2024 22:00 - 02.01.2024 23:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","8257","n/e","6290","921","n/e","0","n/e","n/e","5894"
